City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,alyangula,-13.8483,136.4192,83.91,76,99,8.16,AU,1675131488
222,tuatapere,-46.1333,167.6833,72.95,63,82,7.87,NZ,1675131490
223,ancud,-41.8697,-73.8203,53.17,67,0,6.15,CL,1675131659
224,olafsvik,64.8945,-23.7142,31.14,71,100,41.56,IS,1675131660
225,iqaluit,63.7506,-68.5145,-29.47,68,0,2.3,CA,1675131484
226,kamenolomni,47.6685,40.2051,30.47,90,66,5.19,RU,1675131660
227,arona,28.0996,-16.681,56.82,59,40,8.05,ES,1675131661
228,hellvik,59.9156,5.781,36.77,87,100,3.51,NO,1675131661
229,caborca,30.5838,-111.101,54.7,37,0,8.19,MX,1675131662
230,yulara,-25.2406,130.9889,85.35,36,36,5.3,AU,1675131243
231,adrar,20.5022,-10.0711,59.07,29,67,8.21,MR,1675131461
232,riyadh,24.6877,46.7219,53.74,39,10,7.9,SA,1675131300
233,bengkulu,-3.8004,102.2655,79.36,80,100,3.18,ID,1675131174
234,juliaca,-15.5,-70.1333,43.36,88,100,1.68,PE,1675131663
235,khilok,51.3674,110.4676,7.7,87,99,12.39,RU,1675131663
236,mountain home,43.133,-115.6912,17.08,67,0,3.44,US,1675131664
237,nantucket,41.2835,-70.0995,42.85,96,0,5.75,US,1675131255
238,weligama,5.9667,80.4167,74.66,88,86,8.01,LK,1675131664
239,gberia fotombu,9.8833,-11.1667,72.19,21,94,1.97,SL,1675131665
240,agirish,61.9247,63.0231,-3.6,99,29,4.97,RU,1675131665
241,alofi,-19.0595,-169.9187,82.29,78,75,10.36,NU,1675131451
242,ashford,51.1459,0.8728,41.65,95,12,8.19,GB,1675131666
243,lavrentiya,65.5833,-171.0,26.92,98,100,2.82,RU,1675131450
244,ponnani,10.767,75.9252,74.52,86,95,4.27,IN,1675131666
245,xifeng,42.7372,124.7222,22.32,84,100,3.62,CN,1675131667
246,praia da vitoria,38.7333,-27.0667,55.76,82,40,11.5,PT,1675131667
247,east london,-33.0153,27.9116,69.03,90,99,18.79,ZA,1675131282
248,la rioja,42.25,-2.5,26.38,92,16,5.23,ES,1675131668
249,guarapari,-20.6667,-40.4975,75.88,89,80,8.03,BR,1675131668
250,goderich,43.7501,-81.7165,22.91,68,100,14.97,CA,1675131669
251,yaring,6.8662,101.3689,78.37,79,100,14.7,TH,1675131669
252,hami,42.8,93.45,22.82,28,93,1.5,CN,1675131452
253,dunedin,-45.8742,170.5036,70.81,72,6,8.01,NZ,1675131416
254,palmer,42.1584,-72.3287,44.51,78,100,3.44,US,1675131493
255,ostrovnoy,68.0531,39.5131,23.23,93,100,10.33,RU,1675131670
256,esperance,-33.8667,121.9,69.91,69,2,14.05,AU,1675131575
257,cuenca,-2.8833,-78.9833,55.53,100,75,3.44,EC,1675131587
258,danville,36.586,-79.395,52.77,93,0,0.0,US,1675131633
259,igrim,63.1906,64.4162,-2.81,98,19,5.03,RU,1675131671
260,belaya gora,68.5333,146.4167,-9.89,99,100,8.7,RU,1675131672
261,myrtle beach,33.6891,-78.8867,60.1,87,100,0.0,US,1675131672
262,roald,62.5833,6.1333,37.76,69,40,11.5,NO,1675131514
263,kununurra,-15.7667,128.7333,87.78,70,75,2.3,AU,1675131573
264,parry sound,45.3501,-80.033,15.85,73,100,5.68,CA,1675131673
265,ozernovskiy,51.5,156.5167,23.97,64,100,21.77,RU,1675131673
266,saint-augustin,51.226,-58.6502,7.43,91,100,3.38,CA,1675131674
267,port macquarie,-31.4333,152.9167,76.89,67,52,10.07,AU,1675131646
268,ahipara,-35.1667,173.1667,68.49,95,100,18.72,NZ,1675131230
269,sai buri,6.7013,101.6168,74.91,81,100,12.46,TH,1675131675
270,honningsvag,70.9821,25.9704,33.55,75,40,6.91,NO,1675131675
271,ayia galini,35.1,24.6833,50.4,78,22,2.68,GR,1675131675
272,poum,-20.2333,164.0167,78.66,72,0,1.19,NC,1675131676
273,male,4.1748,73.5089,78.94,76,99,6.42,MV,1675131538
274,chuy,-33.6971,-53.4616,69.58,91,0,3.8,UY,1675131485
275,henties bay,-22.116,14.2845,63.19,86,97,5.79,NA,1675131677
276,conceicao do araguaia,-8.2578,-49.2647,72.79,91,8,1.41,BR,1675131677
277,mayo,38.8876,-76.5119,51.51,83,0,5.75,US,1675131677
278,tarnow,50.0138,20.987,34.52,98,100,16.37,PL,1675131678
279,pathein,16.7833,94.7333,77.9,70,88,7.14,MM,1675131678
280,niksic,42.7731,18.9445,33.67,77,100,7.27,ME,1675131679
281,faya,18.3851,42.4509,48.72,65,36,3.76,SA,1675131679
282,newala,-10.9431,39.2787,65.3,87,2,3.42,TZ,1675131679
283,ko samui,9.5357,99.9357,84.11,70,20,6.91,TH,1675131680
284,hambantota,6.1241,81.1185,77.59,81,98,3.91,LK,1675131479
285,sur,22.5667,59.5289,64.85,65,0,1.57,OM,1675131546
286,culebra,18.303,-65.301,77.09,83,2,10.0,PR,1675131681
287,mount isa,-20.7333,139.5,82.17,83,40,3.44,AU,1675131681
288,saskylakh,71.9167,114.0833,-48.69,100,62,1.12,RU,1675131468
289,port keats,-14.25,129.55,85.14,74,89,9.55,AU,1675131682
290,dembi dolo,8.5333,34.8,63.88,40,55,3.44,ET,1675131682
291,krasnoselkup,65.7,82.4667,3.65,95,100,14.65,RU,1675131683
292,nouadhibou,20.931,-17.0347,60.78,67,21,20.71,MR,1675131568
293,cherskiy,68.75,161.3,21.99,84,100,5.28,RU,1675131483
294,keningau,5.3378,116.1602,78.73,84,100,1.9,MY,1675131684
295,puri,19.8,85.85,70.32,51,91,6.11,IN,1675131684
296,tubuala,9.5167,-79.0333,78.82,78,98,15.59,PA,1675131685
297,dwarka,22.2394,68.9678,64.78,51,0,11.23,IN,1675131348
298,vao,-22.6667,167.4833,76.06,69,0,5.32,NC,1675131685
299,los llanos de aridane,28.6585,-17.9182,56.95,72,100,10.0,ES,1675131226
300,nouakchott,18.0858,-15.9785,64.33,40,6,10.63,MR,1675131686
301,mujiayingzi,42.1167,118.7833,22.48,51,1,4.99,CN,1675131686
302,mantua,45.1667,10.7833,34.84,89,5,4.43,IT,1675131687
303,lokosovo,61.1333,74.8167,7.18,97,100,6.13,RU,1675131687
304,ubinskoye,55.3068,79.6802,-4.67,99,100,7.23,RU,1675131687
305,alugan,12.2188,125.4808,79.2,87,62,17.13,PH,1675131688
306,lodja,-3.4833,23.4333,68.54,95,100,2.1,CD,1675131688
307,eureka,40.8021,-124.1637,47.93,71,0,1.01,US,1675131676
308,tilichiki,60.4667,166.1,9.68,95,21,4.32,RU,1675131689
309,cantaura,9.3057,-64.3584,74.5,61,46,4.9,VE,1675131689
310,sabang,5.8933,95.3214,79.74,81,100,12.75,ID,1675131431
311,coolum beach,-26.5333,153.1,80.69,68,91,8.25,AU,1675131498
312,aloleng,16.1307,119.7824,81.48,58,25,12.8,PH,1675131690
313,puerto asis,0.5133,-76.5007,73.26,62,52,2.64,CO,1675131691
314,ust-nera,64.5667,143.2,-6.86,96,100,2.8,RU,1675131691
315,harper,4.375,-7.7169,78.73,82,96,5.73,LR,1675131691
316,kushima,31.4583,131.2333,50.25,48,0,5.23,JP,1675131692
317,champerico,14.3,-91.9167,78.96,67,1,8.66,GT,1675131692
318,tabuk,17.4189,121.4443,68.27,90,100,1.23,PH,1675131693
319,port-gentil,-0.7193,8.7815,77.52,81,100,17.4,GA,1675131693
320,amapa,1.0,-52.0,71.49,99,100,1.79,BR,1675131650
321,yumen,40.2833,97.2,20.77,36,78,3.33,CN,1675131694
322,piuma,-20.8378,-40.7219,73.26,90,75,9.64,BR,1675131694
323,bambous virieux,-20.3428,57.7575,77.22,88,40,3.44,MU,1675131607
324,san julian,21.0167,-102.1667,63.48,31,47,4.56,MX,1675131695
325,silifke,36.3778,33.9344,49.42,80,89,8.7,TR,1675131695
326,tateyama,34.9833,139.8667,42.71,45,38,11.27,JP,1675131576
327,la ronge,55.1001,-105.2842,-7.38,77,0,6.91,CA,1675131696
328,panlaitan,12.1191,119.8486,82.2,72,99,16.93,PH,1675131696
329,taoudenni,22.6783,-3.9836,56.43,22,39,12.66,ML,1675131696
330,anchorage,61.2181,-149.9003,33.31,94,100,3.44,US,1675131621
331,katherine,-14.4667,132.2667,86.32,70,75,8.05,AU,1675131697
332,bathsheba,13.2167,-59.5167,72.21,83,20,6.91,BB,1675131697
333,narsaq,60.9167,-46.05,16.02,88,100,5.35,GL,1675131482
334,north bend,43.4065,-124.2243,41.92,64,0,5.75,US,1675131698
